Софтуерно инженерство курс 4;;;;Зимен семестър 2021/2022г.;;;;;;;;11.10.2021;
;;;;;;;;;;;;;
;;8;9;10;11;12;13;14;15;16;17;18;19
пон;1;;;;;;;;;;;;
;2;;;;;;;;;;;;
;3;;;;;;;;;;;;
;4;;;ПИСС,FMI бл.2,зала 306, СТ, Петрова Антонова Д, Практ4;;;;;;;;ИС,FMI 321,Змийчаров СТ В,Практ 4;
;5;;;;;;ПИСС,FMI бл.2,зала 306, СТ, Петрова Антонова Д, Практ 5;;;;ИС,FMI 019,Величков СТ Б,Практ 5;;
вто;1;"ПИСС,FMI 200,Василев,СТ, В
Петрова-Антонова, Д Г";;;;;;ИС,FMI 019,Цонков, Т,Практ 1;;;;;
;2;;;ПИСС,FMI 013,Василев,СТ, В,Практ 2;;;;;;;;;
;3;;;ПИСС,FMI 020 СТ, Петрова Антонова Д, Практ 3;;;;;;;;;
;4;;;;;;;;;;;;
;5;;;;;;;;;;;;
сря;1;;;;;;;;;;;;
;2;УПР,FMI 405,Гурова, Е В,Практ 2;;ИС,FMI 019,Цонков, Т,Практ 2;;;;;;;;;
;3;;;УПР,FMI 326,Гурова, Е В,Практ 3;;ИС,FMI 120,Цонков, Т,Практ 3;;;;;;;
;4;;;;;;;;;;;;
;5;;;;;;;;;;;;
чет;1;;;;;;;;;;;;
;2;;;;;;;;;;;;
;3;;;;;;;;;;;;
;4;;;;"УПР,FMI 404,Антонова, СТ, А Е,
Практ 4";;;;;;;;
;5;;"УПР,FMI 404,Антонова, СТ, А Е,
Практ 5";;;;;;;;;;
пет;1;УПР,FMI 310,Гурова, Е В,Практ 1;;УПР,FMI 200,Гурова, Е В;;;ИС,FMI 200,Койчев, И К;;ПИСС,FMI 013,Василев,СТ, В,Практ 1;;;;
;2;;;;;;;;;;;;
;3;;;;;;;;;;;;
;4;;;;;;;;;;;;
;5;;;;;;;;;;;;
съб;1;;;;;;;;;;;;
;2;;;;;;;;;;;;
;3;;;;;;;;;;;;
;4;;;;;;;;;;;;
;5;;;;;;;;;;;;
